Source,Target,Weight
灰原哀,永远,42
灰原哀,爱,65
灰原哀,人间,53
灰原哀,理想,43
灰原哀,喜欢,14
灰原哀,yyds,12
灰原哀,柯南,44
灰原哀,神,18
灰原哀,哀哀,20
灰原哀, ,96
灰原哀,想,12
灰原哀,名,84
灰原哀,姐姐,14
灰原哀,侦探,85
灰原哀,~,14
柯南,找,50
柯南, ,266
柯南,可爱,27
柯南,小哀,103
柯南,早期,19
柯南,好,163
柯南,高,25
柯南,笑,33
柯南,死,88
柯南,一个,87
柯南,灰原哀,44
柯南,危,28
柯南,坐,14
柯南,光彦,49
柯南,不错,11
柯南,不装,13
柯南,聪明,15
柯南,厉害,14
柯南,姐姐,21
柯南,见,13
柯南,哀酱,70
柯南,帮,15
柯南,脸红,12
柯南,话,15
柯南,步美,76
柯南,真的,124
柯南,哈哈哈,49
柯南,你好,16
柯南,想,60
柯南,夏威夷,36
柯南,赢,15
柯南,不了,13
柯南,呜呜,18
柯南,琴酒,19
柯南,元太,20
柯南,名,102
柯南,侦探,105
柯南,斗子,13
柯南,黑衣,16
柯南,兰,43
柯南,小兰,80
柯南,新一,114
柯南,哀,182
柯南,早就,14
柯南,工藤,23
柯南,组织,66
柯南,哈哈哈哈,25
柯南,撩,14
柯南,没,129
柯南,穿,11
柯南,主角,18
柯南,~,24
柯南,听,12
柯南,唱,12
柯南,好像,13
柯南,…,100
柯南,老,20
柯南,吃,26
柯南,药,24
柯南,没事,22
柯南,挺,20
柯南,好看,11
柯南,黑,12
柯南,怀疑,23
柯南,震撼,54
柯南,这时候,15
柯南,后期,16
柯南,出事,18
柯南,一群,12
柯南,队友,17
柯南,不用,11
柯南,孩子,18
柯南,喜欢,126
柯南,矮冬瓜,84
柯南,娃,38
柯南,蒸蛋,24
柯南,光环,12
柯南,能力,27
柯南,带不动,13
柯南,整年,30
柯南,小孩,20
柯南,骂,20
柯南,逼,21
柯南,爱,32
柯南,想到,15
柯南,没想到,26
柯南,博士,44
柯南,是因为,11
柯南,1,16
柯南,带,13
柯南,小孩子,16
柯南,好帅,30
柯南,死神,36
柯南,～,12
柯南,玩,12
柯南,找到,22
柯南,杀,48
柯南,装,20
柯南,震惊,20
柯南,推理,42
柯南,少年,12
柯南,电话,12
柯南,唯一,20
柯南,怪,14
柯南,估计,16
柯南,走,19
柯南,卒,26
柯南,全剧,41
柯南,终,39
柯南,危险,11
柯南,理解,14
柯南,终于,27
柯南,矮,22
柯南,送,22
柯南,太帅,28
柯南,白给,20
柯南,肯定,40
柯南,遗憾,21
柯南,案件,22
柯南,帅,15
柯南,救,25
柯南,每次,17
柯南,挡,11
柯南,一集,13
柯南,怕,17
柯南,灰原,47
柯南,前方,11
柯南,谢谢,12
柯南,血,15
柯南,秀一,16
柯南,大叔,20
柯南,身份,34
柯南,身上,27
柯南,手,15
柯南,明美,15
柯南,毛利,31
柯南,盲猜,20
柯南,日常,46
柯南,这是,15
柯南,声音,13
柯南,完结,43
柯南,本来,11
柯南,追,12
柯南,小五郎,22
柯南,快,18
柯南,少,11
柯南,感觉,18
柯南,赌,22
柯南,飘,19
柯南,+,14
柯南,意难平,11
柯南,永远,16
柯南,红方,16
柯南,不演,12
柯南,晕,12
柯南,不到,11
柯南,发型,12
柯南,眼镜,20
柯南,平次,22
柯南,这集,33
柯南,别人,14
柯南,小时候,12
柯南,确实,27
柯南,记得,24
柯南,ban,33
柯南,=,22
柯南,阿笠,11
柯南,衣服,12
柯南,帽子,11
柯南,不想,17
柯南,宠,12
柯南,感情,12
柯南,哀是,22
柯南,就算,11
柯南,毕竟,21
柯南,解药,16
柯南,真,24
柯南,接下来,12
柯南,请,13
柯南,妈妈,12
柯南,害怕,14
柯南,保护,13
柯南,醒,14
柯南,躺,21
柯南,喊,11
柯南,成,15
柯南,华生,31
柯南,难道,16
柯南,doge,21
柯南,币,16
柯南,这波,18
柯南,倒,13
柯南,其他人,19
柯南,手机,16
柯南,福尔摩斯,13
柯南,假扮,11
柯南,—,24
柯南,两个,13
柯南,旱鸭子,12
柯南,安室透,27
柯南,透子,30
柯南,我压,13
柯南,贝尔,14
柯南,贝姐,100
柯南,计划,24
柯南,干妈,18
柯南,发,13
柯南,爱心,12
柯南,大气层,16
柯南,基德,35
柯南,没算到,12
柯南,藏,11
柯南,尽力,11
柯南,玩不起,11
元太,步美,26
元太,光彦,18
元太, ,50
元太,柯南,20
元太,头,12
元太,永远,106
元太,滴神,62
元太,神,46
元太,真的,46
元太,好,15
元太,讨厌,14
元太,没,12
步美,小天使,75
步美,…,26
步美,哀,22
步美,真的,82
步美,天使,34
步美,小兰,14
步美,欧皇,54
步美,呜呜,28
步美,光彦,18
步美,元太,26
步美,柯南,76
步美,好,60
步美,可爱,44
步美,善良,18
步美, ,84
步美,真,20
步美,小哀,20
步美,哀酱,18
步美,喜欢,48
步美,爱,21
步美,小孩,14
步美,人质,12
步美,绑架,12
步美,那集,12
步美,面包,24
步美,勇敢,24
步美,一个,14
步美,没,11
步美,嗷,12
步美,抱抱,14
步美,宝贝,14
新一,工藤,93
新一,光彦,15
新一,小兰,19
新一,基德,16
新一,博士,28
新一,华生,27
新一,兰,30
新一,…,29
新一,哀,33
新一,柯南,114
