name, created_at, deposit_signature, withdraw_signature, proxy_contract, stake_token
address.dapp.sablier_0, None, None, None, 0xcd18eaa163733da39c232722cbc4e8940b1d8888,
address.dapp.curve_0, None, None, None, 0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,
address.dapp.curve_1, None, None, None, 0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c,
address.dapp.curve_2, None, None, None, 0x45f783cce6b7ff23b2ab2d70e416cdb7d6055f51,
address.dapp.curve_3, None, None, None, 0xa5407eae9ba41422680e2e00537571bcc53efbfd,
address.dapp.curve_4, None, None, None, 0xe5fdbab9ad428bbb469dee4cb6608c0a8895cba5,
address.dapp.curve_5, None, None, None, 0x2e60cf74d81ac34eb21eeff58db4d385920ef419,
address.dapp.curve_6, None, None, None, 0xedf54bc005bc2df0cc6a675596e843d28b16a966,
address.dapp.curve_7, None, None, None, 0x06364f10b501e868329afbc005b3492902d6c763,
address.dapp.curve_8, None, None, None, 0x93054188d876f558f4a66b2ef1d97d16edf0895b,
address.dapp.curve_9, None, None, None, 0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,
address.dapp.curve_10, None, None, None, 0x7002b727ef8f5571cb5f9d70d13dbeeb4dfae9d1,
address.dapp.curve_11, None, None, None, 0xc1db00a8e5ef7bfa476395cdbcc98235477cde4e,
address.dapp.curve_12, None, None, None, 0x845838df265dcd2c412a1dc9e959c7d08537f8a2,
address.dapp.curve_13, None, None, None, 0xeb21209ae4c2c9ff2a86aca31e123764a3b6bc06,
address.dapp.curve_14, None, None, None, 0x9fc689ccada600b6df723d9e47d84d76664a1f23,
address.dapp.curve_15, None, None, None, 0xac795d2c97e60df6a99ff1c814727302fd747a80,
address.dapp.curve_16, None, None, None, 0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,
address.dapp.curve_17, None, None, None, 0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,
address.dapp.curve_18, None, None, None, 0x0001fb050fe7312791bf6475b96569d83f695c9f,
address.dapp.curve_19, None, None, None, 0x79a8c46dea5ada233abaffd40f3a0a2b1e5a4f27,
address.dapp.curve_20, None, None, None, 0x3b3ac5386837dc563660fb6a0937dfaa5924333b,
address.dapp.curve_21, None, None, None, 0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,
address.dapp.curve_22, None, None, None, 0xc25a3a3b969415c80451098fa907ec722572917f,
address.dapp.curve_23, None, None, None, 0xfcba3e75865d2d561be8d220616520c171f12851,
address.dapp.curve_24, None, None, None, 0xdcb6a51ea3ca5d3fd898fd6564757c7aaec3ca92,
address.dapp.curve_25, None, None, None, 0xd905e2eaebe188fc92179b6350807d8bd91db0d8,
address.dapp.curve_26, None, None, None, 0xa50ccc70b6a011cffddf45057e39679379187287,
address.dapp.curve_27, None, None, None, 0xc25099792e9349c7dd09759744ea681c7de2cb66,
address.dapp.curve_28, None, None, None, 0x64eda51d3ad40d56b9dfc5554e06f94e1dd786fd,
address.dapp.curve_29, None, None, None, 0xaa82ca713d94bba7a89ceab55314f9effeddc78c,
address.dapp.curve_30, None, None, None, 0x49849c98ae39fff122806c06791fa73784fb3675,
address.dapp.curve_31, None, None, None, 0x9fe350dfa5f66bc086243f21a8f0932514316627,
address.dapp.curve_32, None, None, None, 0x73ab2bd10ad10f7174a1ad5afae3ce3d991c5047,
address.dapp.curve_33, None, None, None, 0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,
address.dapp.curve_34, None, None, None, 0x13c1542a468319688b89e323fe9a3be3a90ebb27,
address.dapp.curve_35, None, None, None, 0xaeade605d01fe9a8e9c4b3aa0130a90d62167029,
address.dapp.curve_36, None, None, None, 0x4ca9b3063ec5866a4b82e437059d2c43d1be596f,
address.dapp.curve_37, None, None, None, 0xb19059ebb43466c323583928285a49f558e572fd,
address.dapp.curve_38, None, None, None, 0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,
address.dapp.curve_39, None, None, None, 0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,
address.dapp.curve_40, None, None, None, 0x4f062658eaaf2c1ccf8c8e36d6824cdf41167956,
address.dapp.curve_41, None, None, None, 0xd2967f45c4f384deea880f807be904762a3dea07,
address.dapp.curve_42, None, None, None, 0x64448b78561690b70e17cbe8029a3e5c1bb7136e,
address.dapp.curve_43, None, None, None, 0x3ef6a01a0f81d6046290f3e2a8c5b843e738e604,
address.dapp.curve_44, None, None, None, 0x5b5cfe992adac0c9d48e05854b2d91c73a003858,
address.dapp.curve_45, None, None, None, 0x09672362833d8f703d5395ef3252d4bfa51c15ca,
address.dapp.curve_46, None, None, None, 0x3e01dd8a5e1fb3481f0f589056b428fc308af0fb,
address.dapp.curve_47, None, None, None, 0x97e2768e8e73511ca874545dc5ff8067eb19b787,
address.dapp.curve_48, None, None, None, 0xf1f85a74ad6c64315f85af52d3d46bf715236adc,
address.dapp.curve_49, None, None, None, 0x0f9cb53ebe405d49a0bbdbd291a65ff571bc83e1,
address.dapp.curve_50, None, None, None, 0x4f3e8f405cf5afc05d68142f3783bdfe13811522,
address.dapp.curve_51, None, None, None, 0x094d12e5b541784701fd8d65f11fc0598fbc6332,
address.dapp.curve_52, None, None, None, 0xe7a24ef0c5e95ffb0f6684b813a78f2a3ad7d171,
address.dapp.curve_53, None, None, None, 0x6d65b498cb23deaba52db31c93da9bffb340fb8f,
address.dapp.curve_54, None, None, None, 0x1de7f0866e2c4adac7b457c58cc25c8688cda1f2,
address.dapp.curve_55, None, None, None, 0x8474ddbe98f5aa3179b3b3f5942d724afcdec9f6,
address.dapp.curve_56, None, None, None, 0x1aef73d49dedc4b1778d0706583995958dc862e6,
address.dapp.curve_57, None, None, None, 0x803a2b40c5a9bb2b86dd630b274fa2a9202874c2,
address.dapp.curve_58, None, None, None, 0xc18cc39da8b11da8c3541c598ee022258f9744da,
address.dapp.curve_59, None, None, None, 0xc2ee6b0334c261ed60c72f6054450b61b8f18e35,
address.dapp.curve_60, None, None, None, 0xbe175115bf33e12348ff77ccfee4726866a0fbd5,
address.dapp.curve_61, None, None, None, 0x8038c01a0390a8c547446a0b2c18fc9aefecc10c,
address.dapp.curve_62, None, None, None, 0x3a664ab939fd8482048609f652f9a0b0677337b9,
address.dapp.curve_63, None, None, None, 0x61e10659fe3aa93d036d099405224e4ac24996d0,
address.dapp.curve_64, None, None, None, 0x7f55dde206dbad629c080068923b36fe9d6bdbef,
address.dapp.curve_65, None, None, None, 0xde5331ac4b3630f94853ff322b66407e0d6331e8,
address.dapp.curve_66, None, None, None, 0x11f419adabbff8d595e7d5b223eee3863bb3902c,
address.dapp.curve_67, None, None, None, 0x071c661b4deefb59e2a3ddb20db036821eee8f4b,
address.dapp.curve_68, None, None, None, 0x410e3e86ef427e30b9235497143881f717d93c2a,
address.dapp.curve_69, None, None, None, 0xc45b2eee6e09ca176ca3bb5f7eee7c47bf93c756,
address.dapp.curve_70, None, None, None, 0xd81da8d904b52208541bade1bd6595d8a251f8dd,
address.dapp.curve_71, None, None, None, 0x2fe94ea3d5d4a175184081439753de15aef9d614,
address.dapp.curve_72, None, None, None, 0xd5bcf53e2c81e1991570f33fa881c49eea570c8d,
address.dapp.curve_73, None, None, None, 0x890f4e345b1daed0367a877a1612f86a1f86985f,
address.dapp.curve_74, None, None, None, 0x94e131324b6054c0d789b190b2dac504e4361b53,
address.dapp.curve_75, None, None, None, 0xb0a0716841f2fc03fba72a891b8bb13584f52f2d,
address.dapp.curve_76, None, None, None, 0x0ce6a5ff5217e38315f87032cf90686c96627caa,
address.dapp.curve_77, None, None, None, 0x194ebd173f6cdace046c53eacce9b953f28411d1,
address.dapp.curve_78, None, None, None, 0xc5424b857f758e906013f3555dad202e4bdb4567,
address.dapp.curve_79, None, None, None, 0xa3d87fffce63b53e0d54faa1cc983b7eb0b74a9c,
address.dapp.curve_80, None, None, None, 0xdebf20617708857ebe4f679508e7b7863a8a8eee,
address.dapp.curve_81, None, None, None, 0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,
address.dapp.curve_82, None, None, None, 0xdc24316b9ae028f1497c275eb9192a3ea0f67022,
address.dapp.curve_83, None, None, None, 0x06325440d014e39736583c165c2963ba99faf14e,
address.dapp.curve_84, None, None, None, 0xeb16ae0052ed37f479f7fe63849198df1765a733,
address.dapp.curve_85, None, None, None, 0x02d341ccb60faaf662bc0554d13778015d1b285c,
address.dapp.curve_86, None, None, None, 0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,
address.dapp.curve_87, None, None, None, 0xaa17a236f2badc98ddc0cf999abb47d47fc0a6cf,
address.dapp.curve_88, None, None, None, 0x7eb40e450b9655f4b3cc4259bcc731c63ff55ae6,
address.dapp.curve_89, None, None, None, 0x42d7025938bec20b69cbae5a77421082407f053a,
address.dapp.curve_90, None, None, None, 0x2dded6da1bf5dbdf597c45fcfaa3194e53ecfeaf,
address.dapp.curve_91, None, None, None, 0x5282a4ef67d9c33135340fb3289cc1711c13638c,
address.dapp.curve_92, None, None, None, 0xf178c0b5bb7e7abf4e12a4838c7b7c5ba2c623c0,
address.dapp.curve_93, None, None, None, 0xcee60cfa923170e4f8204ae08b4fa6a3f5656f3a,
address.dapp.curve_94, None, None, None, 0xecd5e75afb02efa118af914515d6521aabd189f1,
address.dapp.curve_95, None, None, None, 0x7ca5b0a2910b33e9759dc7ddb0413949071d7575,
address.dapp.curve_96, None, None, None, 0xbc89cd85491d81c6ad2954e6d0362ee29fca8f53,
address.dapp.curve_97, None, None, None, 0x64e3c23bfc40722d3b649844055f1d51c1ac041d,
address.dapp.curve_98, None, None, None, 0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1,
address.dapp.curve_99, None, None, None, 0x69fb7c45726cfe2badee8317005d3f94be838840,
address.dapp.radioshack_0, None, None, None, 0x91fae1bc94a9793708fbc66adcb59087c46dee10,
address.dapp.radioshack_1, None, None, None, 0x3e445e3280c5747a188db8d0ab7762838a50e4ff,
address.dapp.radioshack_2, None, None, None, 0x37c5888e3f8ce7c98022a1640d931563598edc28,
address.dapp.radioshack_3, None, None, None, 0xc19c5b63705807079dbf6d54071f9113233283f5,
address.dapp.radioshack_4, None, None, None, 0x24131830cafc7fbc524e022d4f238271062b85e1,
address.dapp.radioshack_5, None, None, None, 0x2a79a0e0c226a58eeb99c5704d72d49177cc7516,
address.dapp.radioshack_6, None, None, None, 0xe304af407e07465d0a859de9f38324099c9b3a93,
address.dapp.radioshack_7, None, None, None, 0x49ae11b32058cfdfbd588a4168e48d36cd44ecb3,
address.dapp.radioshack_8, None, None, None, 0x54a0baf656fcdc383a7c129751742fecd4eee726,
address.dapp.radioshack_9, None, None, None, 0x2959501164a828050a4a219c210f661b081f9c70,
address.dapp.radioshack_10, None, None, None, 0xa2b6bbebab67dbc4adbb5b86cc2cc466a1659ebb,
address.dapp.radioshack_11, None, None, None, 0x4c55011e3b909e3e8ec3b381d184260bf2c472bf,
address.dapp.radioshack_12, None, None, None, 0x994f5acb01f70a1997eb649dd90b0c8bc9498c8d,
address.dapp.radioshack_13, None, None, None, 0x688a82f0957b808d4ae03d6d7f39d8b90b1043a3,
address.dapp.radioshack_14, None, None, None, 0xd96e939e8837441226e9f74b34f245fae5790606,
address.dapp.balancer_0, None, None, None, 0x9424b1412450d0f8fc2255faf6046b98213b76bd,
address.dapp.balancer_1, None, None, None, 0x165a50bc092f6870dc111c349bae5fc35147ac86,
address.dapp.balancer_2, None, None, None, 0x57755f7dec33320bca83159c26e93751bfd30fbe,
address.dapp.balancer_3, None, None, None, 0xe5d1fab0c5596ef846dcc0958d6d0b20e1ec4498,
address.dapp.balancer_4, None, None, None, 0x987d7cc04652710b74fff380403f5c02f82e290a,
address.dapp.balancer_5, None, None, None, 0xd59bf8773f89e0dde3ec745aebeae0da2b4af66f,
address.dapp.balancer_6, None, None, None, 0xd262e43273ca96214bb02b4036a1f24ad9806739,
address.dapp.balancer_7, None, None, None, 0xd83ed0b5344604c70d8adad0f7f65b150e9448a8,
address.dapp.balancer_8, None, None, None, 0x95f0aa355f4251291e6413dd0174488f0ca8d2db,
address.dapp.balancer_9, None, None, None, 0x29f55de880d4dcae40ba3e63f16407a31b4d44ee,
address.dapp.balancer_10, None, None, None, 0xe80d0143e671224f5ea0bf46a2be7d57e12798f8,
address.dapp.balancer_11, None, None, None, 0x7f0b4d22b8a9abe2ae9ea1077fe1ab77dc7283a3,
address.dapp.balancer_12, None, None, None, 0x53b89ce35928dda346c574d9105a5479cb87231c,
address.dapp.balancer_13, None, None, None, 0x1477660efa71b3e6292878816300c00019de3015,
